"AreaRefName";"AreaName";"Country";"MapCode";"AreaTypeCode"
Albania / AL CTY / CTY;AL CTY;Albania;AL;CTY
Austria / AT CTY / CTY;AT CTY;Austria;AT;CTY
Belarus / BY CTY / CTY;BY CTY;Belarus;BY;CTY
Belgium / BE CTY / CTY;BE CTY;Belgium;BE;CTY
Bosnia Herzegovina / BA CTY / CTY;BA CTY;Bosnia Herzegovina;BA;CTY
Bulgaria / BG CTY / CTY;BG CTY;Bulgaria;BG;CTY
Croatia / HR CTY / CTY;HR CTY;Croatia;HR;CTY
Cyprus / CY CTY / CTY;CY CTY;Cyprus;CY;CTY
Czech Republic / CZ CTY / CTY;CZ CTY;Czech Republic;CZ;CTY
Denmark / DK CTY / CTY;DK CTY;Denmark;DK;CTY
Estonia / EE CTY / CTY;EE CTY;Estonia;EE;CTY
Finland / FI CTY / CTY;FI CTY;Finland;FI;CTY
France / FR CTY / CTY;FR CTY;France;FR;CTY
Georgia / GE CTY / CTY;GE CTY;Georgia;GE;CTY
Germany / DE CTY / CTY;DE CTY;Germany;DE;CTY
Greece / GR CTY / CTY;GR CTY;Greece;GR;CTY
Hungary / HU CTY / CTY;HU CTY;Hungary;HU;CTY
Ireland / IE CTY / CTY;IE CTY;Ireland;IE;CTY
Italy / IT CTY / CTY;IT CTY;Italy;IT;CTY
Latvia / LV CTY / CTY;LV CTY;Latvia;LV;CTY
Lithuania / LT CTY / CTY;LT CTY;Lithuania;LT;CTY
Luxembourg / LU CTY / CTY;LU CTY;Luxembourg;LU;CTY
Malta / MT CTY / CTY;MT CTY;Malta;MT;CTY
Montenegro / ME CTY / CTY;ME CTY;Montenegro;ME;CTY
Netherlands / NL CTY / CTY;NL CTY;Netherlands;NL;CTY
North Macedonia / MK CTY / CTY;MK CTY;North Macedonia;MK;CTY
Norway / NO CTY / CTY;NO CTY;Norway;NO;CTY
Poland / PL CTY / CTY;PL CTY;Poland;PL;CTY
Portugal / PT CTY / CTY;PT CTY;Portugal;PT;CTY
Republic of Moldova / MD CTY / CTY;MD CTY;Republic of Moldova;MD;CTY
Romania / RO CTY / CTY;RO CTY;Romania;RO;CTY
Serbia / RS CTY / CTY;RS CTY;Serbia;RS;CTY
Slovakia / SK CTY / CTY;SK CTY;Slovakia;SK;CTY
Slovenia / SI CTY / CTY;SI CTY;Slovenia;SI;CTY
Spain / ES CTY / CTY;ES CTY;Spain;ES;CTY
Sweden / SE CTY / CTY;SE CTY;Sweden;SE;CTY
Switzerland / CH CTY / CTY;CH CTY;Switzerland;CH;CTY
Turkey / TR CTY / CTY;TR CTY;Turkey;TR;CTY
Ukraine / UA CTY / CTY;UA CTY;Ukraine;UA;CTY
United Kingdom / UK CTY / CTY;UK CTY;United Kingdom;GB;CTY
Russia / Russian Federation / CTY;Russian Federation;Russia;RU;CTY
Armenia / Armenia / CTY;Armenia;Armenia;AM;CTY
Azerbaijan / Azerbaijan / CTY;Azerbaijan;Azerbaijan;AZ;CTY
Azerbaijan / AZ CTY / CTY;AZ CTY;Azerbaijan;AZ;CTY
Russia / RU CTY / CTY;RU CTY;Russia;RU;CTY
Kosovo / XK CTY / CTY;XK CTY;Kosovo;XK;CTY
Armenia / AM CTY / CTY;AM CTY;Armenia;AM;CTY
